Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Toronto Raptors,88,Boston Celtics,104,,,,,,,,,TOR,88,BOS,104
Detroit Pistons,112,Houston Rockets,104,,,,,,,,,DET,112,HOU,104
Milwaukee Bucks,112,New York Knicks,100,,,,,,,,,MIL,112,NYK,100
Dallas Mavericks,107,Chicago Bulls,117,,,,,,,,,DAL,107,CHI,117
Charlotte Hornets,118,Memphis Grizzlies,108,,,,,,,,,CHA,118,MEM,108
Oklahoma City Thunder,108,New Orleans Pelicans,100,,,,,,,,,OKC,108,NOP,100
Sacramento Kings,117,San Antonio Spurs,136,,,,,,,,,SAC,117,SAS,136
Indiana Pacers,98,Denver Nuggets,101,,,,,,,,,IND,98,DEN,101
Portland Trail Blazers,109,Phoenix Suns,119,,,,,,,,,PHX,109,PHX,119
Minnesota Timberwolves,110,Golden State Warriors,123,,,,,,,,,MIN,110,GSW,123
Miami Heat,117,Los Angeles Lakers,120,,,,,,,,,MIA,117,LAL,120
Toronto Raptors,115,Philadelphia 76ers,109,,,,,,,,,TOR,115,PHI,109
Indiana Pacers,111,Utah Jazz,100,,,,,,,,,IND,111,UTA,100
Miami Heat,109,Los Angeles Clippers,112,,,,,,,,,MIA,109,LAC,112
New York Knicks,96,Charlotte Hornets,104,,,,,,,,,NYK,96,CHA,104
Milwaukee Bucks,113,Boston Celtics,122,,,,,,,,,MIL,113,BOS,122
Detroit Pistons,78,Cleveland Cavaliers,98,,,,,,,,,DET,78,CLE,98
Portland Trail Blazers,104,Houston Rockets,92,,,,,,,,,PHX,104,HOU,92
Phoenix Suns,119,Memphis Grizzlies,94,,,,,,,,,PHX,119,MEM,94
Brooklyn Nets,120,New Orleans Pelicans,112,,,,,,,,,BKN,120,NOP,112
Sacramento Kings,103,Oklahoma City Thunder,105,,,,,,,,,SAC,103,OKC,105
Dallas Mavericks,123,San Antonio Spurs,109,,,,,,,,,DAL,123,SAS,109
Atlanta Hawks,96,Denver Nuggets,105,,,,,,,,,ATL,96,DEN,105
Chicago Bulls,93,Golden State Warriors,119,,,,,,,,,CHI,93,GSW,119
Minnesota Timberwolves,107,Los Angeles Lakers,83,,,,,,,,,MIN,107,LAL,83
Miami Heat,111,Utah Jazz,105,,,,,,,,,MIA,111,UTA,105
Philadelphia 76ers,113,Indiana Pacers,118,,,,,,,,,PHI,113,IND,118
Memphis Grizzlies,101,New Orleans Pelicans,112,,,,,,,,,MEM,101,NOP,112
Washington Wizards,104,Orlando Magic,92,,,,,,,,,WAS,104,ORL,92
Detroit Pistons,127,Toronto Raptors,121,,,,,,,,,DET,127,TOR,121
Boston Celtics,89,Cleveland Cavaliers,91,,,,,,,,,BOS,89,CLE,91
